"Date/Time","Average Electricity Consumption (kWh/100 km)","Average Combustion Engine Consumption (L/100 km)","Distance (km)","Driving Time","Average Speed (km/h)"
"2025-04-15T11:16:44+02:00","21,3","0,0","7","0:14","31"
"2025-04-14T19:37:58+02:00","11,1","1,8","16","0:41","24"
"2025-04-14T08:22:41+02:00","9,1","3,2","63","0:49","78"
"2025-04-12T20:11:27+02:00","16,6","0,0","6","0:10","35"
"2025-04-12T17:51:02+02:00","5,9","4,4","56","0:53","63"
"2025-04-12T14:05:46+02:00","15,6","2,5","5","0:10","34"
"2025-04-12T10:11:24+02:00","7,5","4,3","51","0:40","76"
"2025-04-12T01:21:28+02:00","1,6","7,7","24","0:43","34"
"2025-04-11T19:48:48+02:00","2,8","5,2","94","1:40","56"
"2025-04-09T19:58:30+02:00","3,8","7,1","12","0:26","29"
"2025-04-09T08:16:34+02:00","7,9","5,3","12","0:23","31"
"2025-04-08T19:49:50+02:00","9,3","3,9","10","0:27","23"
"2025-04-08T08:26:16+02:00","16,1","5,3","7","0:18","24"
"2025-04-07T20:46:55+02:00","11,1","2,2","12","0:32","24"
"2025-04-07T08:15:10+02:00","8,4","3,5","64","0:56","68"
"2025-04-05T23:42:35+02:00","5,5","6,1","62","0:50","74"
"2025-04-05T19:54:59+02:00","8,8","4,0","66","1:09","57"
"2025-04-04T17:10:25+02:00","1,9","4,7","68","1:14","55"
"2025-04-04T12:35:31+02:00","26,3","6,4","1","0:03","19"
"2025-04-04T06:59:39+02:00","0,6","11,0","7","0:12","35"
"2025-04-04T06:45:34+02:00","4,5","5,0","11","0:15","43"
"2025-04-03T19:55:59+02:00","3,4","9,6","8","0:17","28"
"2025-04-02T19:58:49+02:00","4,4","6,5","26","0:50","32"
"2025-04-02T08:54:21+02:00","9,2","6,4","9","0:24","24"
"2025-04-02T02:28:39+02:00","5,8","5,6","73","3:25","21"
"2025-04-01T17:28:18+02:00","9,0","3,2","6","0:12","30"
"2025-04-01T08:29:23+02:00","18,7","5,3","7","0:27","17"
"2025-03-31T17:51:22+02:00","9,7","2,5","11","0:30","22"
"2025-03-31T07:30:50+02:00","8,7","3,8","64","0:54","71"
"2025-03-30T14:37:59+02:00","21,4","0,0","9","0:27","21"
"2025-03-30T09:04:15+02:00","22,0","0,0","3","0:10","23"
"2025-03-28T18:50:28+01:00","3,6","5,1","93","1:59","47"
"2025-03-28T00:16:40+01:00","6,6","5,0","43","0:56","46"
"2025-03-27T19:50:31+01:00","14,3","2,6","32","1:20","24"
"2025-03-27T14:25:25+01:00","25,9","0,0","1","0:05","12"
"2025-03-27T01:05:47+01:00","4,2","6,2","75","1:54","40"
"2025-03-26T08:49:08+01:00","17,6","5,1","7","0:19","23"
"2025-03-25T20:17:20+01:00","19,7","3,1","5","0:16","19"
"2025-03-25T17:50:28+01:00","18,7","0,0","6","0:14","27"
"2025-03-25T07:30:12+01:00","22,6","2,3","7","0:16","28"
"2025-03-24T20:30:19+01:00","12,9","1,8","22","1:02","22"
"2025-03-24T07:19:41+01:00","8,2","3,7","64","0:53","72"
"2025-03-23T02:15:02+01:00","3,5","6,4","49","0:32","90"
"2025-03-22T21:29:25+01:00","17,6","2,2","15","0:33","29"
"2025-03-22T13:21:13+01:00","7,6","5,0","49","0:33","90"
"2025-03-21T20:15:55+01:00","3,3","6,0","75","1:40","45"
"2025-03-21T08:29:56+01:00","5,5","9,1","7","0:17","26"
"2025-03-20T21:04:15+01:00","7,3","7,2","11","0:28","25"
"2025-03-20T01:32:58+01:00","4,8","6,4","18","0:47","24"
